SYMBOL,CompanyName,compId,compFormat,linkId
KANDAGIRI,Kandagiri Spinng,4631,kandagiri-spinng,kandagiri-spinng-4631
CHITRADURGASPIN,Chitradurga Spin,4632,chitradurga-spin,chitradurga-spin-4632
ALPINECAPITAL,Alpine Capital,4633,alpine-capital,alpine-capital-4633
SARDAINFORMATN,Sarda Informatn,4634,sarda-informatn,sarda-informatn-4634
PCICHEMICALS,P C I Chemicals,4635,p-c-i-chemicals,p-c-i-chemicals-4635
NIMBUSPROJ,Nimbus Proj.,4637,nimbus-proj,nimbus-proj-4637
ESCORTSFIN,Escorts Finance,4638,escorts-finance,escorts-finance-4638
CAPMANFINANCIAL,Capman Financial,4639,capman-financial,capman-financial-4639
HINDNATGLS,Hind.Natl.Glass,4640,hind-natl-glass,hind-natl-glass-4640
BKDUPLEXBOARD,B K Duplex Board,4641,b-k-duplex-board,b-k-duplex-board-4641
SSFORGINGS,S S Forgings,4642,s-s-forgings,s-s-forgings-4642
VARDHAMANLABS,Vardhaman Labs.,4644,vardhaman-labs,vardhaman-labs-4644
INDIAPOLYSPIN,India Polyspin,4645,india-polyspin,india-polyspin-4645
HALDYNGLASS,Haldyn Glass,4647,haldyn-glass,haldyn-glass-4647
DFMFOODS,DFM Foods,4648,dfm-foods,dfm-foods-4648
KKRRAFTONDEVELO,KKRRAFTON Develo,4650,kkrrafton-develo,kkrrafton-develo-4650
MICROFORGEI,Micro Forge (I),4651,micro-forge-i,micro-forge-i-4651
ELDERPROJECTS,Elder Projects,4655,elder-projects,elder-projects-4655
VERONICALABS,Veronica Labs.,4656,veronica-labs,veronica-labs-4656
CLARISISORGANIC,Clarisis Organic,4657,clarisis-organic,clarisis-organic-4657
VALIANTCOMMUN,Valiant Commun.,4658,valiant-commun,valiant-commun-4658
BAIDLEASING,Baid Leasing,4661,baid-leasing,baid-leasing-4661
VIPULLTD,Vipul Ltd,4662,vipul-ltd,vipul-ltd-4662
TRCFINANCIAL,TRC Financial,4663,trc-financial,trc-financial-4663
PARASPETRO,Paras Petrofils,4664,paras-petrofils,paras-petrofils-4664
AUROPHARMA,Aurobindo Pharma,4666,aurobindo-pharma,aurobindo-pharma-4666
SOUTHERNFUEL,Southern Fuel,4668,southern-fuel,southern-fuel-4668
PRESSSENSTIVE,Press. Senstive,4670,press-senstive,press-senstive-4670
